Title,China Runtime,Converted,China Release Date,Budget,Genres,Original Language,Production Company,Global Release Date,Revenue,Global Runtime,Difference
Joan of Arc,01:21:44,81,,0,War ;Drama ;History ;,en,Walter Wanger Productions ;,12/22/48,0,145,-64
The Red Pony,01:25:12,85,,0,Action ;Drama ;Western ;,en,Republic Pictures ;,03/28/49,0,91,-6
Little Women,01:55:28,115,,0,Drama ;Family ;Romance ;,en,Metro ;Goldwyn ;Mayer  ;MGM ;,04/01/49,0,121,-6
Champion,01:34:47,94,,600,Drama ;,en,Stanley Kramer Productions ;Screen Plays ;,04/09/49,0,99,-5
Devil in the Flesh,01:57:17,117,,0,Romance; Drama,en,,05/09/49,,122,-5
Battleground,01:58:31,118,,0,Action ;Adventure ;Drama ;War ;,en,Loew ;Metro ;Goldwyn ;Mayer  ;MGM ;,11/09/49,0,118,0
Sands of Iwo Jima,01:49:55,109,,1000000,Action ;Drama ;History ;War ;,en,Republic Pictures  ;,12/14/49,7800000,100,9
The File on Thelma Jordon,01:36:02,96,,0,Crime ;Drama ;,en,Paramount Pictures ;Hal Wallis Productions ;,01/18/50,0,100,-4
The Lawless,01:18:59,78,,0,Drama ;,en,Paramount Pictures ;Pine ;Thomas Productions ;,06/01/50,0,83,-5
Broken Arrow,01:48:21,108,,0,Western ;,en,Twentieth Century Fox Film Corporation ;,08/01/50,0,93,15
The Furies,01:44:32,104,,0,Drama ;Western ;Romance ;,en,Paramount Pictures ;Hal Wallis Productions ;,08/16/50,0,109,-5
My Blue Heaven,01:35:23,95,,0,Drama ;Music ;,en,Twentieth Century Fox Film Corporation ;,09/15/50,0,95,0
Dark City,01:33:26,93,,0,Romance ;Crime ;Drama ;Mystery ;,en,Paramount Pictures ;,10/17/50,0,98,-5
Branded,01:30:21,90,,0,Western ;,en,Paramount Pictures ;,11/03/50,0,104,-14
All About Eve,02:18:17,138,10/13/50,1400000,Drama ;,en,Twentieth Century Fox Film Corporation ;,11/09/50,63463,138,0
Rio Grande,01:40:47,100,,0,Western ;,en,Argosy Pictures ;Republic Pictures ;,11/15/50,0,105,-5
Copper Canyon,01:20:10,80,,0,Western ;,en,Paramount Pictures ;,11/15/50,0,84,-4
The Frogmen,01:36:12,96,,0,Action ;Adventure ;Drama ;War ;,en,Twentieth Century Fox Film Corporation ;,01/25/51,0,96,0
The Enforcer,01:36:14,96,,0,Drama ;Action ;Crime ;,en,Warner Bros ;United States Pictures ;,02/24/51,0,87,9
Appointment with Danger,01:26:34,86,,0,Crime ;Drama ;Thriller ;,en,Paramount Pictures ;,05/09/51,0,89,-3
Strangers on a Train,01:40:49,100,,1200000,Crime ;Drama ;Thriller ;,en,Warner Bros ;,06/18/51,7000000,101,-1
Ace in the Hole,01:46:28,106,,1821052,Drama ;,en,Paramount Pictures ;,06/29/51,1300000,111,-5
An American in Paris,01:53:33,113,,2723903,Drama ;Comedy ;Music ;Romance ;,en,Loew ;Metro ;Goldwyn ;Mayer  ;MGM ;,08/08/51,4500000,113,0
The River,01:44:50,104,,0,Drama ;Romance ;,en,Oriental International Films ;,09/10/51,0,99,5
A Streetcar Named Desire,02:04:55,124,,1800000,Drama ;,en,Charles K ;Feldman Group ;Warner Bros ;,09/18/51,8000000,125,-1
Detective Story,01:39:05,99,10/24/51,0,Crime ;Drama ;,en,Paramount Pictures ;,11/01/51,0,103,-4
Decision Before Dawn,01:59:21,119,12/21/51,0,War ;Action ;Thriller ;,en,Twentieth Century Fox Film Corporation ;Bavaria Film ;,12/21/51,0,119,0
Distant Drums,01:36:35,96,,0,Action ;Western ;,en,Warner Bros ;United States Pictures ;,12/25/51,0,101,-5
Ivanhoe,01:46:41,106,,0,Action ;Adventure ;Drama ;Romance ;,en,Metro ;Goldwyn ;Mayer  ;MGM ;,01/01/52,0,106,0
The Merry Widow,01:38:35,98,,0,Drama ;Music ;,en,Metro ;Goldwyn ;Mayer  ;MGM ;,09/04/52,0,105,-7
Limelight,02:11:01,131,,0,Comedy ; Drama ; Romance,en,Celebrated Productions,10/31/52,0,137,-6
Hans Christian Andersen,01:52:33,112,,0,Music ;Romance ;Family ;,en,Samuel Goldwyn Company ;The ;,12/19/52,0,112,0
"Come Back, Little Sheba",01:32:01,92,,0,Romance ;Drama ;,en,Paramount Pictures ;,12/24/52,0,96,-4
"Blackbeard, the Pirate",01:38:06,98,,0,Action ;Adventure ;,en,RKO Radio Pictures ;,12/24/52,0,99,-1
The Stooge,01:35:49,95,,0,Comedy ;,en,Paramount Pictures ;,12/31/52,0,100,-5
Pony Express,01:37:13,97,,0,Action ;Western ;,en,Nat Holt Productions ;,01/01/53,0,101,-4
Peter Pan,01:13:25,73,,4000000,Animation ; Music; Family; Adventure; Fantasy,en,RKO Radio Pictures; Walt Disney Productions,02/05/53,87404651,77,-4
Scared Stiff,01:43:24,103,,0,Comedy ;,en,Paramount Pictures ;,04/27/53,0,108,-5
Sea Devils,01:23:09,83,null,0,Action ;Adventure ;Drama ;,en,Coronado Productions ;,05/23/53,0,91,-8
Houdini,01:41:39,101,,0,Drama ;Romance ;History ;,en,Paramount Pictures ;,07/02/53,0,106,-5
Arrowhead,01:41:02,101,8/3/53,0,Action ;Western ;,en,Paramount Pictures ;,08/03/53,0,105,-4
The War of the Worlds,01:21:55,81,,2000000,Horror ;Science ;Fiction ;Thriller ;,en,Paramount Pictures ;,08/13/53,2000000,85,-4
Roman Holiday,01:58:08,118,8/27/53,1500000,Comedy ;Romance ;,en,Paramount Pictures ;,09/02/53,12000000,119,-1
Hondo,01:20:36,80,,0,Western ;,en,Batjac Productions ;Wayne ;Fellows Productions ;Warner Bros ;,11/25/53,0,83,-3
